Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,
Evan Marshall\marshev01,29,us US,R,R,6' 2",225,Apr 18 1990,6,55,0,7,55,55,0,0,0,0,0,0,0,0,0,0,0,0,1.8,,
James McCann\mccanja02,29,us US,R,R,6' 3",225,Jun 13 1990,6,118,113,118,106,0,106,0,0,0,0,0,0,0,0,13,2,0,3.8,$2500000,All-Star
Danny Mendick\mendida01,25,us US,R,R,5' 10",189,Sep 28 1993,1st,16,8,16,11,0,0,0,3,3,5,0,0,0,0,5,3,3,0.3,,
Juan Minaya\minayju01,28,do DO,R,R,6' 4",210,Sep 18 1990,4,22,0,2,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0.4,,
Yoan Moncada\moncayo01,24,cu CU,B,R,6' 2",205,May 27 1995,4,132,130,132,130,0,0,0,0,130,0,0,0,0,0,1,1,0,4.6,$575000,
Ivan Nova\novaiv01,32,do DO,R,R,6' 5",250,Jan 12 1987,10,34,34,3,34,34,0,0,0,0,0,0,0,0,0,0,0,0,2.1,$9167000,
Josh Osich\osichjo01,30,us US,L,L,6' 3",232,Sep 3 1988,5,57,0,5,57,57,0,0,0,0,0,0,0,0,0,0,0,0,0.5,,
Daniel Palka\palkada01,27,us US,L,L,6' 2",220,Oct 28 1991,2,30,22,30,24,0,0,1,0,0,0,0,0,23,23,3,7,1,-1.4,$567000,
AJ Reed\reedaj01,26,us US,L,L,6' 4",275,May 10 1993,4,14,13,14,4,1,0,4,0,0,0,0,0,0,0,9,1,0,-0.5,,
Carlos Rodon\rodonca01,26,us US,L,L,6' 3",235,Dec 10 1992,5,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,$4200000,
Jose Rondon\rondojo02,25,ve VE,R,R,6' 1",195,Mar 3 1994,3,55,39,55,45,1,0,1,19,12,15,2,0,0,2,6,8,3,-0.7,$560000,
Jose Ruiz\ruizjo01,24,ve VE,R,R,6' 1",190,Oct 21 1994,3,40,1,3,40,40,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Yolmer Sanchez\sanchca01,27,ve VE,B,R,5' 11",185,Jun 29 1992,6,149,141,149,149,0,0,0,149,0,0,0,0,0,0,0,4,2,2.1,$4625000,
Ervin Santana\santaer01,36,do DO,R,R,6' 2",175,Dec 12 1982,15,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,$100000,
Hector Santiago\santihe01,31,us US,R,L,6' 0",215,Dec 16 1987,9,11,2,1,11,11,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,
Matt Skole\skolema01,29,us US,L,R,6' 4",220,Jul 30 1989,2,27,20,27,9,0,0,9,0,0,0,0,0,0,0,11,7,0,-0.6,,
Charlie Tilson\tilsoch01,26,us US,L,L,6' 0",185,Dec 2 1992,3,54,41,54,51,0,0,0,0,0,0,19,14,30,51,0,5,2,-0.8,,
Thyago Vieira\vieirth01,25,br BR,R,R,6' 2",210,Jul 1 1993,3,6,0,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,
Seby Zavala\zavalse01,25,us US,R,R,5' 11",215,Aug 28 1993,1st,5,3,5,3,0,3,0,0,0,0,0,0,0,0,0,2,0,-0.2,,
